,id,name,main_artist,key,mode,time_signature,duration_ms_x,danceability,loudness,energy,instrumentalness,liveness,valence,speechiness,tempo,popularity,youtube_views,last_fm_playcount,last_fm_listeners
1694,4e5ue3tfDWoHEQzGXUPVvo,ماهيتي علية أولاش,Cheb Hasni,0,0,4,301534,0.645,-6.188,0.79,0.000118,0.0844,0.937,0.0312,76.949,2,1627637,0,0
1698,2Q9ROjxjRfsLJk3czlksBd,Rani nzid noualef,Cheb Hasni,6,0,3,337213,0.824,-8.27,0.664,0.0,0.334,0.887,0.0555,142.605,2,10953,0,0
42,4U19IrqTfOfDC6O5n3iDRv,Yali galbi mak,Cheb Hasni,0,0,3,350253,0.799,-14.463,0.467,1.78e-05,0.0919,0.936,0.0473,135.372,28,98971,161,74
1974,4MgbfZhMMaqoLHqoEVenNR,Gaa Nsa,Cheb Hasni,11,0,4,332723,0.693,-12.891,0.644,0.00534,0.219,0.933,0.0517,180.32,1,631701,34,10
509,6vOZQ7XPclZGVYC8JgYYH9,Klamhoum Moussiba,Cheb Hasni,1,1,4,335483,0.531,-8.771,0.688,0.0,0.391,0.609,0.0423,161.483,9,37440,255,85
1093,0hbgVWkejZyETiyvCZ3k7h,Mazal souvenir andi,Cheb Hasni,11,0,4,290906,0.497,-10.99,0.537,0.0,0.234,0.646,0.031,158.379,4,234925,820,234
1269,3DjGAWA8voDvLhMrDZphKR,البركة,Cheb Hasni,3,0,4,290026,0.5,-6.579,0.742,8.39e-05,0.125,0.586,0.0445,176.334,3,2298278,0,0
130,6YZsRIzNvS7LNQt3ixZZUt,Enfin lkit litfhamn,Cheb Hasni,5,1,4,280706,0.473,-6.902,0.74,1.25e-05,0.298,0.81,0.0317,88.66,21,58946,140,65
952,7GaLynDRlYhLTUoPzWHO6A,داك المحكوم,Cheb Hasni,7,1,3,364893,0.433,-3.859,0.836,0.000109,0.0759,0.892,0.112,176.9,5,1459,115,27
424,4GrCAt4fmgeaajeI6kGb3b,Kingoul ana,Cheb Hasni,0,1,4,300933,0.603,-6.064,0.921,0.0,0.117,0.878,0.0826,179.887,11,77337,0,0
1494,0DIyHdvInKW1xzB2LFqCSH,ماتجوليش ليفراك,Cheb Hasni,1,0,3,297426,0.602,-8.089,0.663,0.0,0.0705,0.655,0.0284,144.407,2,20616643,3,2
1692,3Ht1WwapJV50cq0zjogQRW,Nhar lefrak bkit,Cheb Hasni,5,0,3,342400,0.428,-3.319,0.82,0.0,0.11,0.739,0.0391,128.57,2,293538,125,49
1963,7eGpOAQ4PwerlJM5h7Ze4D,N'sa l'histoire,Cheb Hasni,7,1,4,347400,0.71,-10.599,0.864,0.00159,0.128,0.936,0.0523,93.258,1,440543,54,24
1524,4VogiBFqV6UNA37ralWecz,Aam esena,Cheb Hasni,7,1,4,323133,0.664,-9.562,0.689,0.776,0.121,0.833,0.0523,162.694,2,57960,42,20
1697,5MUxByZrvJJdnTj7krbYEz,التقى جوالو هاساني,Cheb Hasni,1,1,4,401000,0.702,-12.407,0.386,4.71e-05,0.103,0.481,0.0304,136.728,2,7,3,3
1262,2yNesujITUfpMU1RfI8HE7,يا وائلى مكديليك,Cheb Hasni,7,0,4,293360,0.644,-7.226,0.739,0.00179,0.0475,0.853,0.0346,173.884,3,2497144,8,6
1491,51g2fqa99nlxzRbZjMEgUg,C'est difficile,Cheb Hasni,1,1,4,324000,0.612,-6.712,0.81,4.14e-05,0.302,0.643,0.0396,184.81,2,33031,179,64
1946,1OYgFWDhLK9xnSpGlmDE1m,Reviens à moi,Cheb Hasni,2,0,3,183785,0.705,-4.777,0.831,0.0,0.294,0.879,0.113,149.983,1,45981,0,0
